CO_ESCOLA,SG_UF_PROVA,TP_DEPENDENCIA_ADM_ESC,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,NOTA_GERAL
23052929.0,CE,2,436.8,377.8,423.4,427.1,300.0,393.02
42103770.0,SC,2,521.9,601.9,605.5,689.2,920.0,667.7
29088240.0,BA,2,374.6,427.0,532.7,504.0,720.0,511.66
15585972.0,PA,2,466.4,420.0,361.3,400.5,380.0,405.64
26068877.0,PE,2,367.7,394.7,390.0,391.0,460.0,400.68
21055823.0,MA,2,455.8,441.8,396.1,429.8,500.0,444.7
15038483.0,PA,2,521.7,544.8,582.3,520.7,760.0,585.9
60026482.0,RS,2,536.7,564.1,573.1,465.7,820.0,591.92
15581853.0,PA,2,372.0,301.7,322.9,483.8,600.0,416.08000000000004
35150344.0,SP,2,447.4,591.2,586.9,538.3,480.0,528.76
35109411.0,SP,2,408.1,547.7,518.9,591.4,840.0,581.22
35569409.0,SP,2,592.3,663.2,617.8,786.1,820.0,695.88
51094061.0,MT,2,584.6,566.0,545.0,705.1,760.0,632.14
23007648.0,CE,2,497.4,483.3,535.2,514.9,880.0,582.1600000000001
15097307.0,PA,2,529.0,519.6,546.5,417.8,740.0,550.5799999999999
35033522.0,SP,2,545.5,542.0,544.7,451.4,560.0,528.72
13059696.0,AM,2,446.8,537.0,431.6,429.7,540.0,477.0200000000001
31323748.0,MG,2,601.5,635.6,590.3,777.3,920.0,704.9399999999999
32041411.0,ES,2,533.5,665.5,617.3,734.4,900.0,690.14
29415969.0,BA,2,399.4,532.4,544.4,429.6,620.0,505.15999999999997
35113724.0,SP,2,624.9,547.5,599.6,699.7,780.0,650.3399999999999
25096850.0,PB,1,561.0,641.1,485.8,636.5,940.0,652.8799999999999
23064510.0,CE,2,450.6,359.6,459.1,543.7,540.0,470.6
31000311.0,MG,2,520.1,566.2,577.2,491.7,920.0,615.0400000000001
50033212.0,MS,1,576.0,623.6,612.5,753.5,900.0,693.12
31115398.0,MG,2,413.6,494.8,526.0,391.1,760.0,517.1
35009573.0,SP,2,452.3,446.0,546.3,404.0,460.0,461.71999999999997
23165430.0,CE,2,490.4,528.3,543.3,562.4,780.0,580.88
43008445.0,RS,1,561.1,580.2,567.3,675.2,880.0,652.76
31002348.0,MG,2,413.7,455.6,467.8,429.1,540.0,461.23999999999995
27035840.0,AL,2,417.3,403.4,465.5,398.0,320.0,400.84000000000003
35922511.0,SP,2,530.2,584.4,558.3,547.0,840.0,611.9799999999999
21207895.0,MA,2,391.7,431.7,483.6,449.8,920.0,535.36
31357081.0,MG,2,554.2,599.2,599.6,561.0,760.0,614.8
35014308.0,SP,2,525.9,569.6,553.1,645.1,820.0,622.74
13031040.0,AM,2,452.7,507.3,522.7,432.5,700.0,523.04
23075864.0,CE,2,423.9,441.7,559.9,612.8,860.0,579.6600000000001
31172600.0,MG,2,424.8,383.3,464.6,424.7,600.0,459.48
50010026.0,MS,2,454.4,376.8,463.7,412.2,760.0,493.4200000000001
51045150.0,MT,2,539.5,579.4,568.7,618.0,800.0,621.1200000000001
23047860.0,CE,2,643.7,738.7,696.5,796.2,940.0,763.0200000000001
21057338.0,MA,2,382.2,383.2,355.9,468.8,500.0,418.02
12004197.0,AC,2,398.6,426.3,469.9,412.7,640.0,469.5
52063887.0,GO,2,482.1,502.3,475.6,575.0,740.0,555.0
52068749.0,GO,2,594.8,584.9,555.5,615.9,760.0,622.22
21090262.0,MA,2,434.6,333.3,406.8,433.7,240.0,369.68
29275474.0,BA,2,417.5,529.3,539.9,433.2,560.0,495.9799999999999
35046292.0,SP,2,460.8,581.3,570.4,494.3,680.0,557.36
42001080.0,SC,2,586.7,581.0,608.0,569.4,740.0,617.02
15043789.0,PA,2,421.3,349.5,451.5,479.2,0.0,340.3
41033515.0,PR,2,569.1,567.5,534.4,464.9,600.0,547.1800000000001
15034763.0,PA,2,424.6,531.6,557.8,505.7,700.0,543.9399999999999
29284104.0,BA,2,406.4,437.2,503.5,401.2,0.0,349.65999999999997
15583058.0,PA,2,394.5,417.0,406.3,463.0,560.0,448.16
17026270.0,TO,2,464.0,440.1,464.2,399.3,500.0,453.52
26190494.0,PE,2,560.3,641.5,565.1,689.8,940.0,679.3399999999999
60014847.0,RJ,2,431.6,476.9,546.9,406.4,580.0,488.36
43125514.0,RS,2,493.2,540.6,595.4,607.0,780.0,603.24
42020395.0,SC,2,520.5,463.6,508.3,437.6,620.0,510.0
11028424.0,RO,2,598.7,616.1,588.3,726.2,680.0,641.86
52058557.0,GO,2,362.7,469.5,474.3,431.6,400.0,427.62
21162611.0,MA,2,544.0,594.3,598.0,575.6,860.0,634.38
21165858.0,MA,2,398.9,505.8,535.8,484.5,720.0,529.0
31000311.0,MG,2,455.0,503.1,529.2,437.2,720.0,528.9
53001192.0,DF,2,553.3,581.9,563.2,667.0,700.0,613.0799999999999
26098911.0,PE,2,543.8,530.3,553.1,547.1,820.0,598.8599999999999
29279178.0,BA,2,485.8,290.7,468.7,431.3,660.0,467.3
33100608.0,RJ,2,356.0,413.5,418.2,387.9,600.0,435.12
25012916.0,PB,2,352.3,423.7,493.7,391.4,320.0,396.21999999999997
52097676.0,GO,2,648.7,667.4,595.3,750.9,840.0,700.4599999999999
31191213.0,MG,2,419.6,423.5,413.6,492.3,480.0,445.8
15525791.0,PA,2,401.3,402.1,427.7,407.3,500.0,427.68
24022144.0,RN,2,411.7,309.2,486.7,504.8,820.0,506.4799999999999
28026730.0,SE,2,429.6,544.7,523.3,465.6,720.0,536.64
35046085.0,SP,2,455.6,517.9,473.2,442.8,580.0,493.9
15574865.0,PA,2,343.9,400.9,338.0,396.6,440.0,383.88
23166185.0,CE,2,350.0,436.8,380.1,484.3,480.0,426.23999999999995
35004704.0,SP,2,575.8,636.1,581.1,703.1,920.0,683.22
33199558.0,RJ,2,619.6,617.7,646.4,604.8,780.0,653.7
31108987.0,MG,2,554.8,589.0,604.5,697.5,600.0,609.1600000000001
33017522.0,RJ,2,390.5,292.3,461.3,407.6,0.0,310.34
51036665.0,MT,2,374.9,472.9,423.6,398.2,400.0,413.9200000000001
31146731.0,MG,2,481.2,544.0,542.5,401.0,660.0,525.74
35010789.0,SP,2,383.8,489.1,513.5,462.6,760.0,521.8
26033089.0,PE,2,385.0,398.2,432.2,412.2,640.0,453.5200000000001
41076710.0,PR,2,494.5,441.1,486.4,428.3,520.0,474.06000000000006
27040860.0,AL,2,421.0,412.8,345.9,445.7,280.0,381.08
41570936.0,PR,1,582.7,593.8,582.0,664.4,720.0,628.58
53011031.0,DF,2,472.9,482.6,515.5,460.4,520.0,490.28000000000003
13032526.0,AM,2,457.8,501.0,537.1,409.3,620.0,505.03999999999996
15576370.0,PA,2,409.4,510.6,511.3,410.1,480.0,464.28000000000003
52058867.0,GO,2,512.8,613.1,592.0,474.5,620.0,562.48
26042070.0,PE,2,508.4,518.4,481.9,447.0,0.0,391.14
