uf,dependencia_adm,codigo_escola,nome_escola,reprovacao_fundamental_total,reprovacao_medio_total,reprovacao_geral,evasao_fundamental_total,evasao_medio_total,evasao_geral
AC,Privada,12032271,INSTITUTO SENAI DE TECNOLOGIA MADEIRA E MOVEIS,Não informado,0.0,0.0,Não informado,7.8,7.8
AC,Privada,12001686,ESC INSTITUTO SANTA TERESINHA,1.4,2.1,2.1,0.0,0.7,0.7
AC,Privada,12011525,COLEGIO PADRAO,0.0,Não informado,0.0,0.7,Não informado,0.7
AC,Pública,12028975,ESC INDIGENA SETE VOLTAS,0.0,0.0,0.0,0.0,100.0,100.0
AC,Pública,12006408,ESC INDIGENA SAO FRANCISCO I,0.0,0.0,0.0,5.4,100.0,100.0
AC,Pública,12006459,ESC INDIGENA SAO JOSE I,0.0,0.0,0.0,11.1,100.0,100.0
AL,Privada,27049647,EEF MARIA DAS DORES,0.0,Não informado,0.0,21.4,Não informado,21.4
AL,Privada,27049248,COLEGIO SIGMA,0.6,0.0,0.6,0.6,10.0,10.0
AL,Privada,27054632,CRECHE ESCOLA BUARQUE DE LIMA,0.0,Não informado,0.0,9.5,Não informado,9.5
AL,Pública,27037223,IFAL - CAMPUS MACEIO,Não informado,0.0,0.0,Não informado,100.0,100.0
AL,Pública,27028712,ESCOLA MUNICIPAL DE EDUCACAO BASICA JOAO GOMES DE FARIAS,0.0,Não informado,0.0,33.3,Não informado,33.3
AL,Pública,27354024,ESCOLA ESTADUAL ROSA MARIA PAULINO DA FONSECA,Não informado,13.7,13.7,Não informado,21.7,21.7
AM,Privada,13107828,INSTITUTO OMEGA DE EDUCACAO DO AMAZONAS,Não informado,0.0,0.0,Não informado,42.9,42.9
AM,Privada,13101730,CENTRO DE FORMACAO PROFISSIONAL JOSE TADROS,Não informado,0.0,0.0,Não informado,42.1,42.1
AM,Privada,13105256,CENTRO EDUCACIONAL SEMENTE DE HONRA,0.0,Não informado,0.0,12.5,Não informado,12.5
AM,Pública,13109596,ESCOLA MUNICIPAL NOSSA SENHORA DA CONCEICAO,0.0,Não informado,0.0,81.8,Não informado,81.8
AM,Pública,13121006,ESC MUN INDIGENA WOM HO,0.0,Não informado,0.0,70.0,Não informado,70.0
AM,Pública,13063090,ESC ANA BATALHA,0.0,Não informado,0.0,62.5,Não informado,62.5
AP,Privada,16006437,ESCOLA FAMILIA AGRICOLA DA PERIMETRAL NORTE,0.0,0.0,0.0,18.2,16.7,18.2
AP,Privada,16011430,ESC FAMILIA AGROECOLOGICA DO MACACOARI,0.0,0.0,0.0,0.0,18.2,18.2
AP,Privada,16010108,ESC FAMILIA AGROEXTRATIVISTA DO MARACA,13.5,6.3,13.5,8.1,6.2,8.1
AP,Pública,16007549,ESC MUL FRANCISCO TORRES,0.0,Não informado,0.0,50.0,Não informado,50.0
AP,Pública,16009738,ESCOLA INDIGENA ESTADUAL AATESIWAI,37.5,Não informado,37.5,37.5,Não informado,37.5
AP,Pública,16000277,ESC INDIGENA EST GABRIEL DOS ANJOS,0.0,0.0,0.0,2.4,33.3,33.3
BA,Privada,29486386,SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL,Não informado,0.0,0.0,Não informado,100.0,100.0
BA,Privada,29478154,GRAU TECNICO SAO CRISTOVAO EDUCACIONAL LTDA,Não informado,0.0,0.0,Não informado,62.5,62.5
BA,Privada,29473420,CENTRO DE TREINAMENTO EM SAUDE DE BARREIRAS,Não informado,0.0,0.0,Não informado,54.5,54.5
BA,Pública,29404240,COLEGIO ESTADUAL PROFESSORA MARIA ODETTE PITHON RAYNAL,24.0,14.3,24.0,13.0,60.0,60.0
BA,Pública,29310270,ESC CARLOS RIBEIRO,0.0,Não informado,0.0,57.1,Não informado,57.1
BA,Pública,29297710,ESCOLA ALINE RIBEIRO REIS,0.0,Não informado,0.0,50.0,Não informado,50.0
CE,Privada,23244909,CASA DA CRIANCA IRMA MARCILLAC,0.0,Não informado,0.0,69.4,Não informado,69.4
CE,Privada,23189240,JK COLEGIO,Não informado,0.0,0.0,Não informado,29.1,29.1
CE,Privada,23274670,CENTRO DE FORMACAO EDUCAR-ME,Não informado,0.0,0.0,Não informado,25.0,25.0
CE,Pública,23070900,EEFM CENTRO EDUCACIONAL DOM HELIO CAMPOS,0.0,0.8,0.8,21.7,2.3,21.7
CE,Pública,23051558,PAULO VI ESCOLA MUNICIPAL,3.4,Não informado,3.4,13.8,Não informado,13.8
CE,Pública,23075023,EEM GENERAL MURILO BORGES MOREIRA,Não informado,4.8,4.8,Não informado,13.6,13.6
DF,Privada,53018877,APOGEU EAD,Não informado,0.0,0.0,Não informado,33.3,33.3
DF,Privada,53045009,C DE EDUC PROFISSIONAL SENAC - JESSE FREIRE,Não informado,0.0,0.0,Não informado,15.7,15.7
DF,Privada,53035003,COL CULTURAL,0.0,Não informado,0.0,3.3,Não informado,3.3
