uf;dependencia_adm;codigo_escola;nome_escola;reprovacao_fundamental_total;reprovacao_medio_total;reprovacao_geral;evasao_fundamental_total;evasao_medio_total;evasao_geral
AC;Privada;12042820;CENTRO DE EDUCACAO INFANTIL E ENSINO FUNDAMENTAL I GENTE MIUDA;0;Não informado;0;0;Não informado;0
AC;Privada;12034576;ESC COLEGIO BOM SAMARITANO;0;Não informado;0;0;Não informado;0
AC;Privada;12010960;ESC SESC DE ENSINO INFANTIL E FUNDAMENTAL;0.5;Não informado;0.5;0;Não informado;0
AC;Pública;12009164;ESC MARIA DE JESUS RIBEIRO;15.1;Não informado;15.1;0;Não informado;0
AC;Pública;12023582;ESC BOM JESUS;1.6;Não informado;1.6;0;Não informado;0
AC;Pública;12034100;ESC JAIME DE ALENCAR;5.9;Não informado;5.9;0;Não informado;0
AL;Privada;27051374;COLEGIO SAO MATHEUS;0;Não informado;0;0;Não informado;0
AL;Privada;27055744;COLEGIO SAGRADO CORACAO DE JESUS;0;Não informado;0;0;Não informado;0
AL;Privada;27016021;COLEGIO CENECISTA ROGERIO AUTO TEOFILO;0;Não informado;0;0;Não informado;0
AL;Pública;27000281;ESCOLA MUNICIPAL DE EDUCACAO BASICA AMERICA FERNANDES TORRES;0.4;Não informado;0.4;0;Não informado;0
AL;Pública;27000400;ESCOLA MUNICIPAL DE EDUCACAO BASICA MANOEL FREIRE DA SILVA;0;Não informado;0;0;Não informado;0
AL;Pública;27046427;ESCOLA MUNICIPAL DE EDUCACAO BASICA MARIA JOSE GOMES;0;Não informado;0;0;Não informado;0
AM;Privada;13106457;ESCOLA INFANTIL FLORES DA MINHA VIDA;0;Não informado;0;0;Não informado;0
AM;Privada;13069632;ESC BATISTA ALEGRIA DO SABER;0;Não informado;0;0;Não informado;0
AM;Privada;13076906;CENTRO EDUCACIONAL PARAISO;0;0;0;0;0;0
AM;Pública;13012584;ESCOLA MUNICIPAL DOM PEDRO I;0;Não informado;0;0;Não informado;0
AM;Pública;13012592;ESCOLA MUNICIPAL DIVINO ESPIRITO SANTO DO CARU;0;Não informado;0;0;Não informado;0
AM;Pública;13012665;ESCOLA MUNICIPAL SANTA CRUZ;0;Não informado;0;0;Não informado;0
AP;Privada;16008200;ESCOLA ANA NERI;0;Não informado;0;0;Não informado;0
AP;Privada;16010809;COLEGIO DINAMICO;0.6;Não informado;0.6;0;Não informado;0
AP;Privada;16002016;COLEGIO SANTA BARTOLOMEA CAPITANIO;0;0;0;0;0;0
AP;Pública;16001214;ESC MUL PEDRA PRETA;0;Não informado;0;0;Não informado;0
AP;Pública;16001222;ESC EST SETE DE SETEMBRO;1.6;11.9;11.9;0;0;0
AP;Pública;16006755;ESC MUL COLONIA DO CACHACO;2.1;Não informado;2.1;0;Não informado;0
BA;Privada;29149568;COLEGIO PADRE JOSE DE ANCHIETA;7.8;11.1;11.1;0;0;0
BA;Privada;29149746;INSTITUTO EDUCACIONAL SILVANO ANDRADE;2;2.9;2.9;0;0;0
BA;Privada;29333229;ESCOLA SONHO DE CRIANCA;1.9;Não informado;1.9;0;Não informado;0
BA;Pública;29211956;GRUPO ESCOLAR HORACIO DE MATOS;1.4;Não informado;1.4;0;Não informado;0
BA;Pública;29371112;ESCOLA MUN EUMAR PEREIRA;0;Não informado;0;0;Não informado;0
BA;Pública;29023564;ESCOLA DEMOCRATICA MUNICIPAL DE 1¿ GRAU AGROVILA 14;5.6;Não informado;5.6;0;Não informado;0
CE;Privada;23261994;MUNDO DO SABER EEIF;0;Não informado;0;0;Não informado;0
CE;Privada;23239360;PENTAGONO ORGANIZACAO EDUCACIONAL;1.7;Não informado;1.7;0;Não informado;0
CE;Privada;23000872;VIRGEM PODEROSA ESC;0.3;0;0.3;0;0;0
CE;Pública;23168862;CORONEL HUMBERTO BEZERRA EEIF;0;Não informado;0;0;Não informado;0
CE;Pública;23168900;PADRE JOSE LEITE SAMPAIO EM;0;Não informado;0;0;Não informado;0
CE;Pública;23168951;MARIA OLIVEIRA SANTOS EEIF;0.8;Não informado;0.8;0;Não informado;0
DF;Privada;53000781;ARVENSE C EDUCACIONAL;0;Não informado;0;0;Não informado;0
DF;Privada;53000960;COL MAURICIO SALLES DE MELLO;0.7;Não informado;0.7;0;Não informado;0
DF;Privada;53001060;COL LA SALLE BRASILIA;0.2;1.3;1.3;0;0;0
DF;Pública;53000862;CEF 02 DE BRASILIA;1.2;Não informado;1.2;0;Não informado;0
DF;Pública;53000889;CEF 04 DE BRASILIA;2.9;Não informado;2.9;0;Não informado;0
DF;Pública;53000897;CEF 05 DE BRASILIA;0;Não informado;0;0;Não informado;0
ES;Privada;32045433;IESC JUNIOR;0;Não informado;0;0;Não informado;0
ES;Privada;32064420;CE ADELIA BARROZO BIFANO;0;0;0;0;0;0
ES;Privada;32081081;COOPERATIVA EDUCACIONAL SUL CAPIXABA - COLEGIO INOVADOR;0;Não informado;0;0;Não informado;0
ES;Pública;32025700;EMEF ARREPENDIDO;0;Não informado;0;0;Não informado;0
ES;Pública;32025785;EMEIEFTI FORTALEZA;0;Não informado;0;0;Não informado;0
ES;Pública;32025793;EMEIEF GUMERCINDO LACERDA;5.4;Não informado;5.4;0;Não informado;0
GO;Privada;52091953;ESCOLA MARIA DE LOURDES;0;Não informado;0;0;Não informado;0
GO;Privada;52085490;ESCOLA ANA MARIA RIVIER;2;Não informado;2;0;Não informado;0
GO;Privada;52106691;COLEGIO MAIS SABER LTDA;1.9;0;1.9;0;0;0
GO;Pública;52032094;ESCOLA MUNICIPAL VITAL LUIZ DA COSTA;0.2;Não informado;0.2;0;Não informado;0
GO;Pública;52036499;ESCOLA MUNICIPAL NOSSA SENHORA DO PERPETUO SOCORRO;0;Não informado;0;0;Não informado;0
GO;Pública;52260364;ESCOLA MUNICIPAL HILDEBRANDO CARDOSO LOURENCO;0;Não informado;0;0;Não informado;0
MA;Privada;21088217;CENTRO ESTUDANTIL RUI BARBOSA;Não informado;0;0;Não informado;0;0
MA;Privada;21090009;ESCOLA DIVINO MESTRE;0;1.6;1.6;0;0;0
MA;Privada;21226253;CE JOAO PAULO II;0;2.5;2.5;0;0;0
MA;Pública;21088420;EM MARIO CABRAL DE MELO;0;Não informado;0;0;Não informado;0
MA;Pública;21088519;EM ANGELO CLAUDINE CAPELLOZA;0;Não informado;0;0;Não informado;0
MA;Pública;21088527;EM ANTONIO ALVES MOREIRA;3.9;Não informado;3.9;0;Não informado;0
MG;Privada;31040924;COLEGIO CENECISTA NOSSA SENHORA DE FATIMA;0;3.6;3.6;0;0;0
MG;Privada;31277584;INSTITUTO EDUCACIONAL CRIATIVO DE ABAETE;0;Não informado;0;0;Não informado;0
