uf,codigo_escola,nome_escola,dependencia_adm,reprovacao_fundamental_total,reprovacao_medio_total,evasao_fundamental_total,evasao_medio_total
RO,11022558,EIEEF HAP BITT TUPARI,Pública,0,,0,
RO,11024372,EMEIEF ANA NERY,Pública,2.9,,0,
RO,11024666,EMEIEF BOA ESPERANCA,Pública,1.5,,0,
RO,11024682,EEEFM EURIDICE LOPES PEDROSO,Pública,1.7,1.1,0,0
RO,11024828,EMEIEF IZIDORO STEDILE,Pública,1.7,,0,
RO,11024917,EMEIEF JOSE BASILIO DA GAMA,Pública,0,,0,
RO,11024968,EEEMTI JUSCELINO KUBITSCHEK DE OLIVEIRA,Pública,0,3.5,0,0
RO,11025077,EMEIEF MARIA DE SOUZA PEGO,Pública,10.6,,0,
RO,11025115,EMMEF MARTIM AFONSO DE SOUZA,Pública,0,,0,
RO,11025280,EMEIEF PADRE FEIJO,Pública,1.2,,0,
RO,11025310,EMEIEF PEDRO ALEIXO,Pública,6,,0,
RO,11025352,EMEIEF POTY,Pública,3.9,,0,
RO,11025620,EEEF TANCREDO DE ALMEIDA NEVES,Pública,8.6,,0.7,
RO,11025638,COLEGIO TIRADENTES DA POLICIA MILITAR - CTPM XI,Pública,1,2.8,0.4,1.3
RO,11025654,EMEIEF FLORESTA ENCANTADA,Pública,0.3,,0,
RO,11037962,EIEEFM KON KOATT TUPARI,Pública,2.3,0,0,0
RO,11038047,EIEEF SAW D JO TUPARI,Pública,0,,0,
RO,11038373,EIEEFM BOATT GERAINNY,Pública,4.5,5.6,0,0
RO,11046236,EIEEF MEKITOM TUPARI,Pública,20,,0,
RO,11046244,EIEEF AMEN KOARE TUPARI,Pública,0,,0,
RO,11046252,EIEEFM ANOMAE TUPARI,Pública,4.3,3.4,0,0
RO,11047461,EMEIEF 17 DE JUNHO,Pública,7.8,,0,
RO,11050594,EMEF MARIOMA PEREIRA DA SILVA,Pública,0.7,,0,
RO,11006765,ESCOLA ADVENTISTA DE ARIQUEMES,Privada,1.3,,0,
RO,11006773,EEEFM CORA CORALINA,Pública,6.3,15.7,3.7,18.8
RO,11006846,EEEF ALBINA MARCIO SORDI,Pública,0,,0,
RO,11006854,EMEF ALDEMIR LIMA CANTANHEDE,Pública,8.4,,0.5,
RO,11006889,EEEFM ANISIO TEIXEIRA,Pública,0,8.1,3,6.9
RO,11006900,EMEIEF ARCO-IRIS,Pública,1.9,,0,
RO,11007079,EMEF DR DIRCEU DE ALMEIDA,Pública,2,,0.2,
RO,11007168,COLEGIO TIRADENTES DA POLICIA MILITAR - CTPM III,Pública,5.7,3.1,0.2,0
RO,11007222,EMEIEF JORGE TEIXEIRA,Pública,4.9,,0,
RO,11007249,EMEIEF HENRIQUE DIAS,Pública,2.6,,0,
RO,11007257,EMEF IRENO ANTONIO BERTICELLI,Pública,4.6,,0,
RO,11007281,EEEFM JARDIM DAS PEDRAS,Pública,0.9,,4.2,
RO,11007346,EMEIEF JORGE LUIZ MOULAZ,Pública,3.8,,0,
RO,11007443,EMEIEF MAFALDA RODRIGUES,Pública,3.7,,0.6,
RO,11007451,EMEF MAGDALENA TAGLIAFERRO,Pública,8.7,,0.2,
RO,11007508,EMEIEF MARIO QUINTANA,Pública,8,,0.2,
RO,11007524,EEEFM MIGRANTES,Pública,1.3,,0,
RO,11007605,EMEIEF PADRE ANGELO SPADARI,Pública,10.4,,0,
RO,11007656,COLEGIO DINAMICO EDUCACAO BASICA,Privada,1.1,3.2,0,0
RO,11007702,EMEIEF PROF PEDRO LOUBACK,Pública,8.8,,0,
RO,11007710,EMEF PROFESSOR VENANCIO KOTTWITZ,Pública,12.2,,1.4,
RO,11007737,EMEIEF ROBERTO TURBAY,Pública,6.8,,0.9,
RO,11007834,EMEIEF VINICIUS DE MORAES,Pública,7.9,,0,
